Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
Alamo Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS001,5,10,PS,38684786040695,"250 23RD AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7830048, -122.4822998)"
Alvarado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS002,5,10,PS,38684786040703,"625 DOUGLASS ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7536812, -122.4381943)"
Aptos Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS003,11,13,PS,38684786062020,"105 APTOS AVE, San Francisco, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7296715, -122.4657822)"
Argonne Early Education School,SFUSD,-2,0,PK-TK,USD PreK/TK,PS004,3,5,PS,384000981,"750 16TH AVE, San Francisco, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.7739677, -122.4740601)"
Argonne Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS005,5,10,PS,38684786040737,"680 18TH AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7753067, -122.4763107)"
"Asawa, Ruth Asawa San Francisco School Of The Arts

 / Academy Of Arts And Sciences",SFUSD,9,12,9-12,USD Grades 9-12,PS006,14,17,PS,38684783830387,"555 PORTOLA DR, SAN FRANCISCO CA, 94131",8,06075,SAN FRANCISCO,"CA
(37.7453156, -122.4488297)"
Balboa High School,SFUSD,9,12,9-12,USD Grades 9-12,PS007,14,17,PS,38684783830288,"1000 CAYUGA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7211418, -122.4413986)"
"Brown, Willie Brown Jr Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS008,11,13,PS,38684780132241,"2055 SILVER AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7364769, -122.3995743)"
Bryant Early Education / Bryant Elementary,SFUSD,-2,5,PK-5,"USD PreK-5, Grades K-5",PS009,3,10,PS,38684786040778,"2641 25TH ST, San Francisco, CA 94110",10,06075,SAN FRANCISCO,"CA
(37.7514534, -122.4046936)"
Buena Vista / Horace Mann,SFUSD,0,8,K-8,USD Grades K-8,PS010,5,13,PS,38684786062046,"3351 23RD ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7530327, -122.4201813)"
"Burton, Phillip And Sala Burton High School",SFUSD,9,12,9-12,USD Grades 9-12,PS011,14,17,PS,38684783830254,"400 MANSELL ST, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.7215462, -122.4065552)"
"Carmichael, Bessie Carmichael (6-8 Campus)",SFUSD,6,8,6-8,USD Grades 6-8,PS012,11,13,PS,38684786040752,"824 HARRISON ST, San Francisco, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.7805595, -122.4004898)"
"Carmichael, Bessie Carmichael K-5 Campus / Early Education",SFUSD,0,8,K-8,USD Grades K-8,PS013,5,13,PS,384001456,"375 07TH ST, San Francisco, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.7763824, -122.4064560)"
"Carver, Dr. George Washington Carver Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS014,5,10,PS,38684786093496,"1360 OAKDALE AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7316666, -122.3853378)"
"Chavez, Cesar Chavez Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS015,3,10,PS,38684786041149,"825 SHOTWELL ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7549210, -122.4148788)"
"Chin, John Yehall Chin Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS016,5,10,PS,38684786113252,"350 BROADWAY, San Francisco, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.7986107, -122.4032211)"
Chinese Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS017,5,10,PS,38684786089569,"657 MERCHANT ST, SAN FRANCISCO, CA 94111",3,06075,SAN FRANCISCO,"CA
(37.7947693, -122.4040604)"
Chinese Immersion School At Deavila,SFUSD,0,4,K-4,USD Grades K-4,PS018,5,9,PS,38684780120386,"1250 WALLER ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7698288, -122.4442749)"
City Arts And Tech High School,SFUSD,9,12,9-12,USD Grades 9-12,PS019,14,17,PS,38684780107300,"325 LA GRANDE AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7187843, -122.4246674)"
Clarendon Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS020,5,10,PS,38684786040828,"500 CLARENDON AVE, San Francisco, CA 94131",7,06075,SAN FRANCISCO,"CA
(37.7537537, -122.4562683)"
Cleveland Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS021,5,10,PS,38684786040836,"455 ATHENS ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7203407, -122.4291916)"
"Cobb, Dr. William L. Cobb Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS022,3,10,PS,38684786040968,"2725 CALIFORNIA ST, San Francisco, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.7876778, -122.4395523)"
Creative Arts Charter School,SFUSD,0,8,K-8,USD Charter School,PS023,5,13,PS,38684786112601,"1601 TURK ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7798042, -122.4360733)"
"Denman, James Denman Middle School / Leadership Charter High",SFUSD,6,8,6-8,USD Grades 6-8,PS024,11,13,PS,38684786059869,"241 ONEIDA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7213097, -122.4431839)"
Downtown High School,SFUSD,9,12,9-12,USD Grades 9-12,PS025,14,17,PS,38684783830064,"693 VERMONT ST, San Francisco, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.7613983, -122.4037018)"
"Drew, Dr. Charles R. Drew Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS026,3,10,PS,38684786104673,"50 POMONA ST, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7317963, -122.3938904)"
Edison Charter K-8,SFUSD,0,8,K-8,USD Charter School,PS027,5,13,PS,38684786040935,"3531 22ND ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7544670, -122.4260406)"
El Dorado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS028,5,10,PS,38684786040950,"70 DELTA ST, San Francisco, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.7186584, -122.4078522)"
Everett Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS029,11,13,PS,38684786062038,"450 CHURCH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7635765, -122.4293671)"
Fairmount Elementary School / Preschool,SFUSD,-2,5,PK-5,USD PreK-5,PS030,3,10,PS,38684786040984,"65 CHENERY ST, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.7404327, -122.4250107)"
"Feinstein, Dianne Feinstein Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS031,5,10,PS,38684780111427,"2550 25TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7396851, -122.4813690)"
Five Keys Charter,SFUSD,8,12,8-12,USD Charter School,PS032,13,17,PS,38684780101774,"70 OAK GROVE ST, San Francisco, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.7771072, -122.4022293)"
"Flynn, Leonard Flynn Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS033,5,10,PS,38684786041347,"3125 CESAR CHAVEZ ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7477455, -122.4119644)"
Francisco Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS034,11,13,PS,38684786059844,"2190 POWELL ST, San Francisco, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.8045692, -122.4109650)"
Galileo High School,SFUSD,9,12,9-12,USD Grades 9-12,PS035,14,17,PS,38684783831765,"1150 FRANCISCO ST, San Francisco, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.8037910, -122.4241486)"
Garfield Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS036,5,10,PS,38684786041040,"420 FILBERT ST, San Francisco, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.8020363, -122.4066925)"
Gateway High School / Kipp Sf Bay Academy,SFUSD,9,12,9-12,USD Charter School,PS037,14,17,PS,38684783830437,"1430 SCOTT ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7832642, -122.4366913)"
Gateway Middle School,SFUSD,-2,5,PK-5,USD Charter School; PreK-5,PS038,3,10,PS,38684780123265,"1512 GOLDEN GATE AVE, SAN FRANCISCO CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7794189, -122.4359207)"
"Giannini, A.P. Giannini Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS039,11,13,PS,38684786059828,"3151 ORTEGA ST, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7503014, -122.4966660)"
Glen Park Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS040,5,10,PS,38684786041073,"151 LIPPARD AVE, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.7331314, -122.4356232)"
Grattan Elementary / Early Education,SFUSD,-2,5,PK-5,"USD PreK-4, Grades K-5",PS041,3,10,PS,38684786041115,"165 GRATTAN ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7634926, -122.4504242)"
Guadalupe Elementary School,SFUSD,-2,5,PK-5,USD PreK-5,PS042,3,10,PS,38684786041123,"859 PRAGUE ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7101822, -122.4340286)"
"Harte, Bret Harte Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS043,3,10,PS,38684786040760,"1035 GILMAN AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7178993, -122.3892212)"
"Havard, Leola M. Havard Early Education School",SFUSD,-2,5,PK-5,USD PreK/TK-5,PS044,3,10,PS,38684780117564,"1520 OAKDALE AVE, SAN FRANCISCO CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7340851, -122.3885880)"
"Hearst, Phoebe Apperson Hearst Home",SFUSD,9,12,9-12,USD Grades 9-12,PS045,14,17,PS,38684786041495,"3045 SANTIAGO ST, SAN FRANCISCO 94116",4,06075,SAN FRANCISCO,"CA
(37.7436295, -122.5000534)"
Hillcrest Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS046,5,10,PS,38684786041156,"810 SILVER AVE, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.7284126, -122.4186859)"
Hilltop High Special Services Center,SFUSD,8,12,8-12,USD County School,PS047,13,17,PS,38684783830080,"1325 FLORIDA ST, SAN FRANCISCO CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7504539, -122.4096298)"
"Hoover, Herbert Hoover Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS048,11,13,PS,38684786059851,"2290 14TH AVE, San Francisco, CA 94116",7,06075,SAN FRANCISCO,"CA
(37.7455559, -122.4689636)"
Independence High School,SFUSD,9,12,9-12,USD Grades 9-12,PS049,14,17,PS,38684783830197,"1350 07TH AVE, San Francisco, CA 94122",5,06075,SAN FRANCISCO,"CA
(37.7632256, -122.4635849)"
International Studies Academy,SFUSD,6,12,6-12,USD Grades 6-12,PS050,11,17,PS,38684783830353,"655 DE HARO ST, SAN FRANCISCO CA 94107",10,06075,SAN FRANCISCO,"CA
(37.7617035, -122.4006882)"
Jefferson Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS051,5,10,PS,38684786041230,"1725 IRVING ST, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7630653, -122.4767303)"
Jefferson Out Of School (OST) Program,SFUSD,0,5,K-5,USD Grades K-5,PS052,5,10,PS,38684786041230,"1325 18TH AVE, SAN FRANCISCO CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7630615, -122.4763184)"
"Jordan, June Jordan High School",SFUSD,9,12,9-12,USD Grades 9-12,PS053,14,17,PS,38684780102103,"325 LA GRANDE AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7195358, -122.4251480)"
"Key, Francis Scott Key Elementary/Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS054,5,10,PS,38684786041008,"1530 43RD AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7580986, -122.5019989)"
"King, Dr. Martin Luther King Jr. Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS055,11,13,PS,38684786059885,"350 GIRARD ST, San Francisco, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.7277412, -122.4058075)"
"King, Thomas Starr King Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS056,3,10,PS,38684786041602,"1215 CAROLINA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.7532883, -122.3991928)"
Kipp Bayview Academy,SFUSD,5,8,5-8,USD Charter School,PS057,10,13,PS,38684780101337,"1060 KEY AVE, SAN FRANCISCO CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7195320, -122.3965607)"
Lafayette Elementary School,SFUSD,-2,5,PK-5,USD PreK-5                                   ,PS058,3,10,PS,38684786041305,"4545 ANZA ST, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7770691, -122.4968872)"
Lakeshore Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS059,5,10,PS,38684786041321,"220 MIDDLEFIELD DR, San Francisco, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.7303238, -122.4854202)"
Larkin Street Youth Services Academy,SFUSD,7,12,7-12,USD County School,PS060,12,17,PS,SFUSD unknown,"134 GOLDEN GATE AVE, SAN FRANCISCO CA 94102",6,06075,SAN FRANCISCO,"CA
(37.7822647, -122.4129868)"
"Lau, Gordon J. Lau Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS061,3,10,PS,38684786040877,"950 CLAY ST, San Francisco, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.7943993, -122.4088058)"
Lawton Alternative School,SFUSD,0,8,K-8,USD Grades K-8,PS062,5,13,PS,38684786041339,"1570 31ST AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7580490, -122.4890976)"
"Lick, James Lick Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS063,11,13,PS,38684786062053,"1220 NOE ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7493629, -122.4327850)"
Life Learning Academy Charter School,SFUSD,9,12,9-12,USD Charter School,PS064,14,17,PS,38684783830429,"651 8TH TI ST, SAN FRANCISCO, CA 94130",6,06075,SAN FRANCISCO,"CA
(37.8255119, -122.3679962)"
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS065,5,13,PS,38684786102479,"3630 DIVISADERO ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.8033600, -122.4432373)"
"Lilienthal, Claire Lilienthal (K-2 Madison Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS066,5,13,PS,38684786102479,"3950 SACRAMENTO ST, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.7872009, -122.4580154)"
"Lincoln, Abraham Lincoln High School",SFUSD,9,12,9-12,USD Grades 9-12,PS067,14,17,PS,38684783833241,"2162 24TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7465935, -122.4802399)"
Longfellow Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS068,5,10,PS,38684786041362,"755 MORSE ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7104225, -122.4467392)"
Lowell High School,SFUSD,9,12,9-12,USD Grades 9-12,PS069,14,17,PS,38684783833407,"1101 EUCALYPTUS DR, San Francisco, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.7294350, -122.4830551)"
Malcolm X Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS070,5,10,PS,38684786041586,"350 HARBOR RD, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7342377, -122.3809662)"
Marina Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS071,11,13,PS,38684786062061,"3500 FILLMORE ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.8018265, -122.4354782)"
Marshall Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS072,5,10,PS,38684786041412,"1575 15TH ST, San Francisco, CA 94103",9,06075,SAN FRANCISCO,"CA
(37.7662888, -122.4190216)"
"Marshall, Thurgood Marshall High School",SFUSD,9,12,9-12,USD Grades 9-12,PS073,14,17,PS,38684783830403,"45 CONKLING ST, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.7363091, -122.4016495)"
"Mccoppin, Frank Mccoppin Elementary / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS074,5,10,PS,38684786041016,"651 06TH AVE, San Francisco, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.7763100, -122.4644775)"
Mckinley Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS075,5,10,PS,38684786041420,"1025 14TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7668839, -122.4362793)"
"Mclaren, John Mclaren Early Education School",SFUSD,-2,5,PK-5,USD PreK/TK-5,PS076,3,10,PS,38684780117531,"2055 SUNNYDALE AVE, San Francisco, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.7131310, -122.4231873)"
"Milk, Harvey Milk Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS077,5,10,PS,38684786040919,"4235 19TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7589264, -122.4364471)"
Miraloma Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS078,5,10,PS,38684786041438,"175 OMAR WAY, San Francisco, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7386360, -122.4501877)"
Mission Education Center Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS079,5,10,PS,38684786089585,"1670 NOE ST, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.7422028, -122.4314346)"
Mission High School,SFUSD,9,12,9-12,USD Grades 9-12,PS080,14,17,PS,38684783834082,"3750 18TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7620201, -122.4273071)"
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS081,5,10,PS,38684786041446,"260 MADRID ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7253990, -122.4304886)"
"Moscone, George Moscone Elementary / Las Americas Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS082,3,10,PS,38684786099154,"2576 HARRISON ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7567406, -122.4126205)"
"Muir, John Muir Elementary / Early Education",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS083,3,10,PS,38684786041255,"380 WEBSTER ST, San Francisco, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.7737579, -122.4286804)"
New Traditions Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS084,5,10,PS,38684786097919,"2049 GROVE ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.7738838, -122.4502640)"
Noriega Early Education School,SFUSD,-2,5,PK-5,USD PreK/TK-5,PS085,3,10,PS,38684780117473,"1775 44TH AVE, San Francisco, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.7538338, -122.5036545)"
"O'Connell, John O'Connell High School",SFUSD,9,12,9-12,USD Grades 9-12,PS086,14,17,PS,38684783834769,"2355 FOLSOM ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7595139, -122.4135590)"
"Ortega, Jose Ortega Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS087,5,10,PS,38684786041271,"400 SARGENT ST, San Francisco, CA 94132",11,06075,SAN FRANCISCO,"CA
(37.7167816, -122.4666748)"
"Parker, Jean Parker Out-Of-School (OST) / Early Education",SFUSD,0,5,K-5,USD Grades K-5,PS088,5,10,PS,38684786041206,"840 BROADWAY, San Francisco, CA 94133",3,06075,SAN FRANCISCO,"CA
(37.7976189, -122.4110413)"
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,0,5,K-5,"USD Grades K-5, PreK-5",PS089,5,10,PS,38684786041503,"1501 OFARRELL ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.7830086, -122.4295044)"
"Peabody, George Peabody Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS090,5,10,PS,38684786041065,"251 06TH AVE, San Francisco, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.7838554, -122.4650269)"
Presidio Early Education School,SFUSD,-2,4,PK-4,USD PreK-4,PS091,3,9,PS,38684780117499,"387 MORAGA AVE, San Francisco, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.7975197, -122.4611053)"
Presidio Middle School,SFUSD,6,8,6-8,USD Grades 6-8,PS092,11,13,PS,38684786062079,"450 30TH AVE, San Francisco, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.7808647, -122.4896240)"
Redding Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS093,5,10,PS,38684786041511,"1421 PINE ST, San Francisco, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.7895203, -122.4192505)"
"Revere, Paul Revere School / Preschool",SFUSD,-2,8,PK-8,USD PreK-8,PS094,3,13,PS,38684786041487,"555 TOMPKINS AVE, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7376137, -122.4131165)"
"Rodriguez, Zaida T. Rodriguez Early Education School",SFUSD,-2,0,PK-TK,USD PreK/TK,PS095,3,5,PS,380504356,"421 BARTLETT ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7498207, -122.4185562)"
Rooftop (5-8 Mayeda Campus),SFUSD,-2,8,PK-8,USD Grades PK-8,PS096,3,13,PS,38684786089775,"500 CORBETT AVE, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7573967, -122.4444962)"
Rooftop (K-4 Burnett Campus),SFUSD,-2,8,PK-8,USD Grades PK-8,PS097,3,13,PS,38684786089775,"443 BURNETT AVE, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.7548103, -122.4432220)"
"Roosevelt, Theodore Roosevelt Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS098,11,13,PS,38684786059901,"460 ARGUELLO BLVD, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.7822800, -122.4583511)"
San Francisco Community Alternative School,SFUSD,0,8,K-8,USD Grades K-8,PS099,5,13,PS,38684786093488,"125 EXCELSIOR AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7261047, -122.4321365)"
San Francisco County Civic Center Secondary School,SFUSD,7,12,7-12,USD County School,PS100,12,17,PS,38103893830445,"727 GOLDEN GATE AVE, San Francisco, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.7802963, -122.4229431)"
San Francisco International High School,SFUSD,9,12,9-12,USD Grades 9-12,PS101,14,17,PS,38684786149876,"1050 YORK ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7552299, -122.4088593)"
San Miguel Early Education School,SFUSD,-2,5,PK-5,USD PreK-5,PS102,3,10,PS,38684780117481,"300 SENECA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7216454, -122.4447098)"
Sanchez Elementary School  / Preschool,SFUSD,-2,5,PK-5,USD PreK-5,PS103,3,10,PS,38684786041545,"325 SANCHEZ ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.7634544, -122.4303589)"
"Serra, Junipero Serra Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS104,5,10,PS,38684786041289,"625 HOLLY PARK CIR, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.7369118, -122.4214859)"
Sheridan Elementary School / Preschool,SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS105,3,10,PS,38684786041560,"431 CAPITOL AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.7144775, -122.4596329)"
Sherman Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS106,5,10,PS,38684786041578,"1651 UNION ST, San Francisco, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.7978020, -122.4261169)"
"Sloat, Commodore Sloat Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS107,5,10,PS,38684786040851,"50 DARIEN WAY, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7312584, -122.4704819)"
Spring Valley Elementary / Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS108,5,10,PS,38684786041594,"1451 JACKSON ST, San Francisco, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.7940063, -122.4188156)"
"Stevenson, Robert Louis Stevenson Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS109,5,10,PS,38684786041529,"2051 34TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.7488441, -122.4927597)"
"Stockton, Commodore Stockton Early Education School",SFUSD,-2,4,PK-4,USD PreK/TK-4,PS110,3,9,PS,38684780117465,"1 TRENTON ST, San Francisco, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.7950821, -122.4090805)"
Sunnyside Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS111,5,10,PS,38684786041610,"250 FOERSTER ST, San Francisco, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.7302933, -122.4482574)"
